"","x"
"1","Vine Grove"
"2",""
"3",""
"4","Stanfordville"
"5",""
"6","Brewster"
"7","Columbus"
"8",""
"9",""
"10","Pittsburgh"
"11",""
"12","Wellesley"
"13",""
"14","Willacoochee"
"15",""
"16","Dover Plains"
"17","Aventura"
"18",""
"19","North Salem"
"20",""
"21","Flushing"
"22","New Castle"
"23",""
"24",""
"25","Arlington Heights"
"26",""
"27","Portchester"
"28",""
"29",""
"30","Palmer"
"31",""
"32",""
"33",""
"34","New York"
"35","Wingdale"
"36","Port Chester"
"37",""
"38","Oshkosh"
"39",""
"40","Alfred Station"
"41",""
"42","Saugus"
"43",""
"44","Sudbury"
"45",""
"46",""
"47","Jasper"
"48","New Bedford"
"49","Rye"
"50",""
"51",""
"52",""
"53",""
"54",""
"55","Sakem"
"56",""
"57",""
"58","New York"
"59","Rye"
"60",""
"61",""
"62","Deer Lodge"
"63","Hurley"
"64",""
"65",""
"66","Allston"
"67","Millerton"
"68",""
"69","Bass Harbor"
"70","Zionsville"
"71",""
"72","Naples"
"73","Saratoga Spgs"
"74",""
"75",""
"76","Charlestown"
"77",""
"78","Hawaiian Gardens"
"79",""
"80",""
"81","Inver Grove Heights"
"82",""
"83",""
"84",""
"85","Chesapeake"
"86",""
"87",""
"88",""
"89",""
"90",""
"91","Santa Cruz"
"92","Maplewood"
"93",""
"94","Port Chester"
"95","Webster"
"96",""
"97","Pawtucket"
"98",""
"99",""
"100",""
"101","Quincy"
"102","Orlando"
"103","Astoria"
"104","Hampton Bays"
"105","East Meadow"
"106","Kingston"
"107",""
"108",""
"109",""
"110",""
"111","Mahopac"
"112","Hamilton"
"113","Nutley"
"114",""
"115",""
"116",""
"117","Chicopee"
"118","New York"
"119",""
"120","Wingdale"
"121","La Place"
"122","Granville"
"123",""
"124",""
"125",""
"126",""
"127",""
"128",""
"129",""
"130","Leominster"
"131","Saugus"
"132","Pittsfield"
"133","Mt Vernon"
"134",""
"135","Rye"
"136","Yorktown Heights"
"137",""
"138",""
"139",""
"140","Vineland"
"141","Parma"
"142","Kingwood"
"143","Dover Plains"
"144","Chelsea"
"145",""
"146",""
"147","Williston Park"
"148",""
"149","Clermont"
"150",""
