"","id","2012","2013","2014","2015","2016","combined"
"1","Canaan",28.75,24.39,20.91,32.23,31.36,"28.75, 24.39, 20.91, 32.23, 31.36"
"2","Windham",16.87,20.26,22.36,27.53,25.08,"16.87, 20.26, 22.36, 27.53, 25.08"
"3","Torrington",10.4,13.37,16.06,19.94,23.74,"10.4, 13.37, 16.06, 19.94, 23.74"
"4","New London",16.09,17.4,23.27,18.92,20.41,"16.09, 17.4, 23.27, 18.92, 20.41"
"5","Hartford",18.17,17.59,18.6,20.34,19.12,"18.17, 17.59, 18.6, 20.34, 19.12"
"6","Sharon",10.47,13,14.08,15.53,18.06,"10.47, 13, 14.08, 15.53, 18.06"
"7","Griswold",10.29,12.54,15.3,15.72,16.97,"10.29, 12.54, 15.3, 15.72, 16.97"
"8","Waterbury",12.08,12.47,12.9,16.16,16.66,"12.08, 12.47, 12.9, 16.16, 16.66"
"9","Hampton",5.51,14.88,6.06,13.77,16.53,"5.51, 14.88, 6.06, 13.77, 16.53"
"10","Sprague",11.72,11.72,16.08,15.07,16.08,"11.72, 11.72, 16.08, 15.07, 16.08"
"11","Sterling",7.1,10.26,10.26,12.37,16.05,"7.1, 10.26, 10.26, 12.37, 16.05"
"12","East Haven",13.44,14.78,13.51,14.23,15.39,"13.44, 14.78, 13.51, 14.23, 15.39"
"13","New Britain",9.07,9.62,10.41,13.13,15.13,"9.07, 9.62, 10.41, 13.13, 15.13"
"14","Bridgeport",11.26,10.78,11.76,12.34,14.12,"11.26, 10.78, 11.76, 12.34, 14.12"
"15","Winchester",8.97,9.87,15.16,17.04,13.45,"8.97, 9.87, 15.16, 17.04, 13.45"
"16","New Haven",10.59,11.77,10.97,12.45,13.4,"10.59, 11.77, 10.97, 12.45, 13.4"
"17","Plainfield",8.42,11.42,13.32,11.81,13.38,"8.42, 11.42, 13.32, 11.81, 13.38"
"18","Putnam",6.91,6.6,9.11,11.52,13.09,"6.91, 6.6, 9.11, 11.52, 13.09"
"19","Bristol",8.61,8.62,10.13,12.39,12.62,"8.61, 8.62, 10.13, 12.39, 12.62"
"20","Killingly",9.12,10.05,10.51,12.3,12.42,"9.12, 10.05, 10.51, 12.3, 12.42"
"21","Norwich",10.76,11.4,12.39,14.03,12.37,"10.76, 11.4, 12.39, 14.03, 12.37"
"22","Lebanon",7.24,9.01,12.29,11.61,12.02,"7.24, 9.01, 12.29, 11.61, 12.02"
"23","Beacon Falls",5.13,6.96,4.14,8.12,11.1,"5.13, 6.96, 4.14, 8.12, 11.1"
"24","Plymouth",8.81,8.64,8.73,13.5,10.45,"8.81, 8.64, 8.73, 13.5, 10.45"
"25","Warren",0,0,6.78,11.53,10.17,"0, 0, 6.78, 11.53, 10.17"
"26","Naugatuck",6.89,7.61,9.09,11.77,10.07,"6.89, 7.61, 9.09, 11.77, 10.07"
"27","Derby",6.54,7.01,7.16,7.87,9.81,"6.54, 7.01, 7.16, 7.87, 9.81"
"28","Middletown",6.98,7.07,8.18,9.02,9.72,"6.98, 7.07, 8.18, 9.02, 9.72"
"29","Colchester",8.56,9.68,8.19,8.13,9.49,"8.56, 9.68, 8.19, 8.13, 9.49"
"30","Montville",4.74,6.27,9.48,7.29,9.33,"4.74, 6.27, 9.48, 7.29, 9.33"
"31","Barkhamsted",4.77,5.3,3.71,6.89,9.28,"4.77, 5.3, 3.71, 6.89, 9.28"
"32","Chaplin",9.97,4.98,8.72,14.53,9.14,"9.97, 4.98, 8.72, 14.53, 9.14"
